city,district,street,place,location,remark,source,link,is_today,province
汕头,潮南区,,陇田镇南埔村,"116.530924,23.153038",,汕头发布,https://mp.weixin.qq.com/s/MJayWWtfMetX7uypjW34jA,0,广东省
汕头,潮阳区,,关埠镇下底村,"116.450122,23.475237",,汕头政务发布,https://mp.weixin.qq.com/s/AL2WfgREI1kR0MaUaP3yVA,0,广东省
汕头,潮阳区,,揭阳炮台,"116.48344,23.49648",,汕头政务发布,https://mp.weixin.qq.com/s/AL2WfgREI1kR0MaUaP3yVA,0,广东省
汕头,南澳县,,前江沙滩东侧区域,"117.022558,23.415511",,汕头政务发布,https://mp.weixin.qq.com/s/PP0Ae7iEqCdUTjgNfCvqCA,0,广东省
汕头,南澳县,,深澳镇走马埔村,"117.05779,23.468279",,汕头发布,https://mp.weixin.qq.com/s/MJayWWtfMetX7uypjW34jA,0,广东省
汕头,南澳县,,后宅镇隆澳大街,"117.02753,23.421592",,汕头发布,https://mp.weixin.qq.com/s/MJayWWtfMetX7uypjW34jA,0,广东省
汕头,南澳县,,蓝海豪景,"117.032407,23.411268",,南方都市报,https://mp.weixin.qq.com/s/Y2tnLZ1OaFofrnxWPtHREg,0,广东省
汕头,南澳县,,山顶市场,"116.612681,23.269069",,汕头政务发布,https://mp.weixin.qq.com/s/PP0Ae7iEqCdUTjgNfCvqCA,0,广东省
汕头,南澳县,,起云阁,"117.050882,23.403389",,汕头政务发布,https://mp.weixin.qq.com/s/PP0Ae7iEqCdUTjgNfCvqCA,0,广东省
汕头,龙湖区,,鸥汀街道陈厝寨华兴园,"116.710456,23.44055",,汕头发布,https://mp.weixin.qq.com/s/YgLkGhE1VlX6oQWl9nqyMg,0,广东省
汕头,龙湖区,,龙腾熙园,"116.735926,23.401102",,南方都市报,https://mp.weixin.qq.com/s/Y2tnLZ1OaFofrnxWPtHREg,0,广东省
汕头,金平区,,中信怀英花园,"116.720559,23.390299",,汕头发布,https://mp.weixin.qq.com/s/YgLkGhE1VlX6oQWl9nqyMg,0,广东省
汕头,金平区,,东兴路11巷,"116.708231,23.368085",,南方都市报,https://mp.weixin.qq.com/s/Y2tnLZ1OaFofrnxWPtHREg,0,广东省
惠州,仲恺区,,陈江街道御景华城,"114.318126,23.000601",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200204257969.html,0,广东省
